date posted (GMT),title,address,distance (km),price,post_url
"September 7, 2017 8:25 PM",LEASE TAKEOVER,"339 King St N, Waterloo, ON N2J 2Z1, Canada",1.672,$625.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/lease-takeover/1295849254"">link</a>"
"September 3, 2017 7:45 PM",Female Only House Waterloo ALL Incl. wt Onsite Laundry,"Waterloo, ON N2L4W3",2.565,$490.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/female-only-house-waterloo-all-incl-wt-onsite-laundry/1294708883"">link</a>"
"September 7, 2017 7:53 PM","Room❤️ $60/day, $280/week, $700/month - short & long terms","Waterloo, ON N2V",3.222,$70.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/room-60-day-280-week-700-month-short-long-terms/1295812308"">link</a>"
"August 22, 2017 8:43 PM",1 year rental room near UW and WLU,"Waterloo, ON N2L3R8",1.166,$500.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/1-year-rental-room-near-uw-and-wlu/1291631116"">link</a>"
"August 31, 2017 12:49 AM",Female 4 bedroom basement 2 bath Waterloo Laurier Conestoga,"106 Peppler St, Waterloo, ON N2J 3C8, Canada",1.681,$400.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/female-4-bedroom-basement-2-bath-waterloo-laurier-conestoga/1279273386"">link</a>"
"September 1, 2017 2:38 AM",425 near U of W no lease all utilities,"Waterloo, ON N2L5N4",1.802,$425.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/425-near-u-of-w-no-lease-all-utilities/1294061371"">link</a>"
"August 11, 2017 1:12 AM","5BDRM 4BATH UNIT 5-minute-walk to UW, Utility Inclusive, Jan. 1","Waterloo, ON N2L2R7",0.793,$530.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/5bdrm-4bath-unit-5-minute-walk-to-uw-utility-inclusive-jan-1/1288553470"">link</a>"
"August 20, 2017 1:58 PM",Rooms to rent near UW and on I-Xpress 200 bus stop from Sept 1,"Waterloo, ON N2L4S1",2.272,$425.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/rooms-to-rent-near-uw-and-on-i-xpress-200-bus-stop-from-sept-1/1290980205"">link</a>"
"August 15, 2017 9:07 PM",ROOM AVAILABLE NOW,"Waterloo, ON N2J1E9",2.295,$650.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/room-available-now/1289826848"">link</a>"
"August 11, 2017 2:31 PM","Student Rooms for Rent, Free Internet, Fantastic Location!","40 Laurel St, Waterloo, ON N2J 2H2, Canada",1.899,$385.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/student-rooms-for-rent-free-internet-fantastic-location/1288642836"">link</a>"
